datetime,open,close,high,low,contract,avg
2023-04-24 09:30:00,96.28,96.31,96.32,96.28,TL9999.CCFX,96.304175
2023-04-24 09:35:00,96.32,96.29,96.32,96.29,TL9999.CCFX,96.2993
2023-04-24 09:40:00,96.29,96.3,96.3,96.29,TL9999.CCFX,96.29733999999999
2023-04-24 09:45:00,96.3,96.29,96.3,96.28,TL9999.CCFX,96.28851999999999
2023-04-24 09:50:00,96.28,96.28,96.29,96.26,TL9999.CCFX,96.27192
2023-04-24 09:55:00,96.28,96.29,96.29,96.28,TL9999.CCFX,96.28788
2023-04-24 10:00:00,96.3,96.3,96.34,96.3,TL9999.CCFX,96.31286
2023-04-24 10:05:00,96.3,96.29,96.3,96.29,TL9999.CCFX,96.29446
2023-04-24 10:10:00,96.29,96.29,96.3,96.29,TL9999.CCFX,96.29150000000001
2023-04-24 10:15:00,96.28,96.3,96.3,96.28,TL9999.CCFX,96.293
2023-04-24 10:20:00,96.29,96.29,96.3,96.29,TL9999.CCFX,96.29406
2023-04-24 10:25:00,96.29,96.31,96.31,96.29,TL9999.CCFX,96.299
2023-04-24 10:30:00,96.31,96.34,96.34,96.31,TL9999.CCFX,96.32203999999999
2023-04-24 10:35:00,96.35,96.32,96.36,96.32,TL9999.CCFX,96.33584
2023-04-24 10:40:00,96.32,96.31,96.33,96.31,TL9999.CCFX,96.32124
2023-04-24 10:45:00,96.32,96.32,96.32,96.32,TL9999.CCFX,96.32
2023-04-24 10:50:00,96.32,96.34,96.34,96.32,TL9999.CCFX,96.333
2023-04-24 10:55:00,96.33,96.36,96.37,96.33,TL9999.CCFX,96.34854
2023-04-24 11:00:00,96.36,96.37,96.4,96.36,TL9999.CCFX,96.37039999999999
2023-04-24 11:05:00,96.38,96.34,96.38,96.33,TL9999.CCFX,96.35256000000001
2023-04-24 11:10:00,96.34,96.34,96.34,96.33,TL9999.CCFX,96.33984000000001
2023-04-24 11:15:00,96.34,96.35,96.37,96.34,TL9999.CCFX,96.35571999999999
2023-04-24 11:20:00,96.35,96.35,96.36,96.35,TL9999.CCFX,96.352
2023-04-24 11:25:00,96.35,96.32,96.35,96.32,TL9999.CCFX,96.34098
2023-04-24 11:30:00,96.32,96.34,96.34,96.32,TL9999.CCFX,96.3271
2023-04-24 13:00:00,96.32,96.34,96.34,96.32,TL9999.CCFX,96.326675
2023-04-24 13:05:00,96.34,96.34,96.34,96.33,TL9999.CCFX,96.33984000000001
2023-04-24 13:10:00,96.34,96.34,96.34,96.34,TL9999.CCFX,96.34
2023-04-24 13:15:00,96.34,96.33,96.34,96.33,TL9999.CCFX,96.33466
2023-04-24 13:20:00,96.33,96.34,96.34,96.32,TL9999.CCFX,96.33104
2023-04-24 13:25:00,96.34,96.35,96.35,96.34,TL9999.CCFX,96.345
2023-04-24 13:30:00,96.35,96.37,96.37,96.35,TL9999.CCFX,96.36046
2023-04-24 13:35:00,96.37,96.37,96.37,96.37,TL9999.CCFX,96.37
2023-04-24 13:40:00,96.37,96.39,96.41,96.37,TL9999.CCFX,96.39326
2023-04-24 13:45:00,96.39,96.37,96.39,96.37,TL9999.CCFX,96.37848
2023-04-24 13:50:00,96.37,96.39,96.39,96.37,TL9999.CCFX,96.3805
2023-04-24 13:55:00,96.39,96.38,96.39,96.37,TL9999.CCFX,96.38588
2023-04-24 14:00:00,96.39,96.39,96.39,96.38,TL9999.CCFX,96.3861
2023-04-24 14:05:00,96.39,96.39,96.39,96.39,TL9999.CCFX,96.39
2023-04-24 14:10:00,96.39,96.37,96.39,96.37,TL9999.CCFX,96.38086
2023-04-24 14:15:00,96.37,96.36,96.38,96.36,TL9999.CCFX,96.3659
2023-04-24 14:20:00,96.36,96.37,96.38,96.36,TL9999.CCFX,96.36634000000001
2023-04-24 14:25:00,96.37,96.35,96.37,96.34,TL9999.CCFX,96.34758000000001
2023-04-24 14:30:00,96.35,96.34,96.35,96.34,TL9999.CCFX,96.346
2023-04-24 14:35:00,96.34,96.36,96.36,96.34,TL9999.CCFX,96.352
2023-04-24 14:40:00,96.36,96.38,96.38,96.36,TL9999.CCFX,96.37
2023-04-24 14:45:00,96.38,96.38,96.39,96.38,TL9999.CCFX,96.38399999999999
2023-04-24 14:50:00,96.38,96.36,96.38,96.36,TL9999.CCFX,96.36622
2023-04-24 14:55:00,96.36,96.36,96.36,96.34,TL9999.CCFX,96.35560000000001
2023-04-24 15:00:00,96.37,96.36,96.37,96.35,TL9999.CCFX,96.36264
2023-04-24 15:05:00,96.37,96.36,96.37,96.35,TL9999.CCFX,96.36037999999999
2023-04-24 15:10:00,96.36,96.36,96.37,96.36,TL9999.CCFX,96.36184
2023-04-24 15:15:00,96.37,96.37,96.37,96.34,TL9999.CCFX,96.3563
2023-04-25 09:30:00,96.4,96.41,96.47,96.38,TL9999.CCFX,96.44007500000001
2023-04-25 09:35:00,96.41,96.42,96.42,96.41,TL9999.CCFX,96.41516
2023-04-25 09:40:00,96.42,96.41,96.42,96.4,TL9999.CCFX,96.40978
2023-04-25 09:45:00,96.41,96.41,96.42,96.41,TL9999.CCFX,96.41004000000001
2023-04-25 09:50:00,96.41,96.41,96.41,96.4,TL9999.CCFX,96.4063
2023-04-25 09:55:00,96.41,96.41,96.42,96.41,TL9999.CCFX,96.412
2023-04-25 10:00:00,96.42,96.37,96.42,96.36,TL9999.CCFX,96.39922
2023-04-25 10:05:00,96.38,96.38,96.39,96.38,TL9999.CCFX,96.38066
2023-04-25 10:10:00,96.38,96.36,96.38,96.36,TL9999.CCFX,96.36800000000001
2023-04-25 10:15:00,96.36,96.37,96.37,96.36,TL9999.CCFX,96.36600000000001
2023-04-25 10:20:00,96.37,96.36,96.37,96.36,TL9999.CCFX,96.36372
2023-04-25 10:25:00,96.37,96.36,96.37,96.36,TL9999.CCFX,96.36174
2023-04-25 10:30:00,96.36,96.33,96.36,96.32,TL9999.CCFX,96.34442
2023-04-25 10:35:00,96.34,96.35,96.35,96.34,TL9999.CCFX,96.346
2023-04-25 10:40:00,96.36,96.38,96.38,96.36,TL9999.CCFX,96.37018
2023-04-25 10:45:00,96.38,96.38,96.38,96.38,TL9999.CCFX,96.38
2023-04-25 10:50:00,96.38,96.38,96.39,96.37,TL9999.CCFX,96.38181999999999
2023-04-25 10:55:00,96.38,96.39,96.39,96.38,TL9999.CCFX,96.38399999999999
2023-04-25 11:00:00,96.4,96.38,96.4,96.37,TL9999.CCFX,96.39108
2023-04-25 11:05:00,96.39,96.4,96.41,96.39,TL9999.CCFX,96.40020000000001
2023-04-25 11:10:00,96.4,96.4,96.41,96.39,TL9999.CCFX,96.40496
2023-04-25 11:15:00,96.4,96.39,96.4,96.39,TL9999.CCFX,96.39784
2023-04-25 11:20:00,96.39,96.35,96.39,96.35,TL9999.CCFX,96.36846
2023-04-25 11:25:00,96.35,96.38,96.38,96.35,TL9999.CCFX,96.36548
2023-04-25 11:30:00,96.39,96.38,96.39,96.36,TL9999.CCFX,96.3779
2023-04-25 13:00:00,96.38,96.37,96.38,96.37,TL9999.CCFX,96.3775
2023-04-25 13:05:00,96.37,96.4,96.41,96.37,TL9999.CCFX,96.39416
2023-04-25 13:10:00,96.4,96.43,96.44,96.4,TL9999.CCFX,96.41688
2023-04-25 13:15:00,96.43,96.39,96.44,96.39,TL9999.CCFX,96.41911999999999
2023-04-25 13:20:00,96.4,96.42,96.42,96.4,TL9999.CCFX,96.40592000000001
2023-04-25 13:25:00,96.42,96.4,96.43,96.39,TL9999.CCFX,96.41084000000001
2023-04-25 13:30:00,96.4,96.42,96.42,96.4,TL9999.CCFX,96.40806
2023-04-25 13:35:00,96.42,96.41,96.43,96.4,TL9999.CCFX,96.42536
2023-04-25 13:40:00,96.41,96.44,96.44,96.41,TL9999.CCFX,96.42674
2023-04-25 13:45:00,96.45,96.45,96.48,96.43,TL9999.CCFX,96.45914
2023-04-25 13:50:00,96.45,96.37,96.45,96.35,TL9999.CCFX,96.41391999999999
2023-04-25 13:55:00,96.38,96.36,96.39,96.36,TL9999.CCFX,96.3759
2023-04-25 14:00:00,96.36,96.36,96.37,96.36,TL9999.CCFX,96.36964
2023-04-25 14:05:00,96.36,96.36,96.37,96.35,TL9999.CCFX,96.36384000000001
2023-04-25 14:10:00,96.36,96.36,96.36,96.36,TL9999.CCFX,96.36
2023-04-25 14:15:00,96.36,96.38,96.38,96.36,TL9999.CCFX,96.3684
2023-04-25 14:20:00,96.37,96.38,96.38,96.37,TL9999.CCFX,96.3784
2023-04-25 14:25:00,96.38,96.38,96.39,96.38,TL9999.CCFX,96.3807
2023-04-25 14:30:00,96.39,96.39,96.39,96.39,TL9999.CCFX,96.39
2023-04-25 14:35:00,96.39,96.38,96.39,96.38,TL9999.CCFX,96.387
2023-04-25 14:40:00,96.37,96.38,96.38,96.37,TL9999.CCFX,96.378
2023-04-25 14:45:00,96.37,96.39,96.39,96.37,TL9999.CCFX,96.38
2023-04-25 14:50:00,96.39,96.39,96.39,96.39,TL9999.CCFX,96.39
2023-04-25 14:55:00,96.38,96.38,96.38,96.38,TL9999.CCFX,96.38
2023-04-25 15:00:00,96.38,96.38,96.38,96.37,TL9999.CCFX,96.37608
2023-04-25 15:05:00,96.38,96.39,96.39,96.38,TL9999.CCFX,96.38199999999999
2023-04-25 15:10:00,96.39,96.38,96.4,96.38,TL9999.CCFX,96.39026
2023-04-25 15:15:00,96.39,96.4,96.4,96.39,TL9999.CCFX,96.396
2023-04-26 09:30:00,96.38,96.42,96.44,96.38,TL9999.CCFX,96.417025
2023-04-26 09:35:00,96.42,96.42,96.43,96.41,TL9999.CCFX,96.41966
2023-04-26 09:40:00,96.42,96.43,96.43,96.42,TL9999.CCFX,96.42584000000001
2023-04-26 09:45:00,96.42,96.41,96.42,96.41,TL9999.CCFX,96.41290000000001
2023-04-26 09:50:00,96.41,96.39,96.41,96.39,TL9999.CCFX,96.40034
2023-04-26 09:55:00,96.38,96.4,96.4,96.38,TL9999.CCFX,96.39294
