datetime,open,close,high,low,contract,avg
2024-01-02 09:00:00,482.06,482.02,482.1,481.38,AU9999.XSGE,481.782875
2024-01-02 09:05:00,482.02,482.44,482.7,482.02,AU9999.XSGE,482.45736
2024-01-02 09:10:00,482.44,482.8,482.94,482.44,AU9999.XSGE,482.61376
2024-01-02 09:15:00,482.86,482.62,482.88,482.48,AU9999.XSGE,482.6525
2024-01-02 09:20:00,482.64,482.52,482.66,482.46,AU9999.XSGE,482.53628
2024-01-02 09:25:00,482.52,482.46,482.56,482.34,AU9999.XSGE,482.44536
2024-01-02 09:30:00,482.46,482.26,482.46,482.24,AU9999.XSGE,482.37965999999994
2024-01-02 09:35:00,482.24,482.44,482.56,482.24,AU9999.XSGE,482.4232
2024-01-02 09:40:00,482.46,482.46,482.62,482.34,AU9999.XSGE,482.50454
2024-01-02 09:45:00,482.44,482.54,482.58,482.42,AU9999.XSGE,482.51138000000003
2024-01-02 09:50:00,482.5,482.36,482.54,482.32,AU9999.XSGE,482.42956000000004
2024-01-02 09:55:00,482.34,482.36,482.42,482.32,AU9999.XSGE,482.37636000000003
2024-01-02 10:00:00,482.34,482.34,482.42,482.26,AU9999.XSGE,482.33322
2024-01-02 10:05:00,482.36,482.32,482.4,482.24,AU9999.XSGE,482.31692000000004
2024-01-02 10:10:00,482.3,482.14,482.38,481.98,AU9999.XSGE,482.18734000000006
2024-01-02 10:15:00,482.14,482.12,482.16,482.1,AU9999.XSGE,482.1258
2024-01-02 10:30:00,482.3,482.3,482.5,482.26,AU9999.XSGE,482.3705
2024-01-02 10:35:00,482.32,482.7,482.72,482.26,AU9999.XSGE,482.47648
2024-01-02 10:40:00,482.7,482.68,482.8,482.6,AU9999.XSGE,482.68242
2024-01-02 10:45:00,482.68,482.86,482.86,482.6,AU9999.XSGE,482.71308
2024-01-02 10:50:00,482.86,482.78,482.88,482.66,AU9999.XSGE,482.747
2024-01-02 10:55:00,482.8,482.88,482.9,482.76,AU9999.XSGE,482.81702000000007
2024-01-02 11:00:00,482.86,482.78,482.9,482.62,AU9999.XSGE,482.76478
2024-01-02 11:05:00,482.78,482.76,482.84,482.72,AU9999.XSGE,482.78828000000004
2024-01-02 11:10:00,482.76,482.92,482.96,482.76,AU9999.XSGE,482.85846000000004
2024-01-02 11:15:00,482.92,482.98,483.12,482.92,AU9999.XSGE,483.02136
2024-01-02 11:20:00,483.02,483.28,483.3,482.98,AU9999.XSGE,483.10339999999997
2024-01-02 11:25:00,483.3,483.3,483.46,483.26,AU9999.XSGE,483.33608000000004
2024-01-02 11:30:00,483.32,483.26,483.32,483.2,AU9999.XSGE,483.2395
2024-01-02 13:30:00,483.5,483.46,483.84,483.42,AU9999.XSGE,483.55435
2024-01-02 13:35:00,483.44,483.56,483.78,483.44,AU9999.XSGE,483.64434
2024-01-02 13:40:00,483.56,483.6,483.68,483.5,AU9999.XSGE,483.59096
2024-01-02 13:45:00,483.6,484.0,484.22,483.6,AU9999.XSGE,483.88009999999997
2024-01-02 13:50:00,484.0,484.06,484.12,483.9,AU9999.XSGE,484.02757999999994
2024-01-02 13:55:00,484.12,484.06,484.32,483.96,AU9999.XSGE,484.07702
2024-01-02 14:00:00,484.04,484.0,484.16,483.94,AU9999.XSGE,484.03729999999996
2024-01-02 14:05:00,484.0,483.68,484.0,483.68,AU9999.XSGE,483.88782000000003
2024-01-02 14:10:00,483.7,484.06,484.08,483.7,AU9999.XSGE,483.92359999999996
2024-01-02 14:15:00,484.06,484.06,484.12,484.0,AU9999.XSGE,484.05586000000005
2024-01-02 14:20:00,484.06,484.18,484.32,484.04,AU9999.XSGE,484.16648000000004
2024-01-02 14:25:00,484.16,484.2,484.26,484.04,AU9999.XSGE,484.12659999999994
2024-01-02 14:30:00,484.2,484.14,484.28,484.14,AU9999.XSGE,484.20583999999997
2024-01-02 14:35:00,484.16,484.04,484.18,483.98,AU9999.XSGE,484.06391999999994
2024-01-02 14:40:00,484.0,484.14,484.18,483.96,AU9999.XSGE,484.07032
2024-01-02 14:45:00,484.12,484.08,484.16,483.86,AU9999.XSGE,484.01782000000003
2024-01-02 14:50:00,484.1,484.04,484.1,483.96,AU9999.XSGE,484.02848000000006
2024-01-02 14:55:00,484.02,484.12,484.16,483.98,AU9999.XSGE,484.06022
2024-01-02 15:00:00,484.14,484.1,484.14,484.0,AU9999.XSGE,484.0615
2024-01-02 21:00:00,483.7,483.78,484.06,483.68,AU9999.XSGE,483.91665
2024-01-02 21:05:00,483.76,483.66,483.76,483.42,AU9999.XSGE,483.59096
2024-01-02 21:10:00,483.66,483.52,483.72,483.38,AU9999.XSGE,483.58948
2024-01-02 21:15:00,483.52,483.54,483.62,483.38,AU9999.XSGE,483.52604
2024-01-02 21:20:00,483.54,483.94,483.96,483.5,AU9999.XSGE,483.71896
2024-01-02 21:25:00,483.94,483.78,483.94,483.72,AU9999.XSGE,483.82356
2024-01-02 21:30:00,483.78,484.14,484.26,483.74,AU9999.XSGE,483.94878
2024-01-02 21:35:00,484.16,484.08,484.16,483.76,AU9999.XSGE,483.98105999999996
2024-01-02 21:40:00,484.08,484.04,484.1,483.9,AU9999.XSGE,483.96981999999997
2024-01-02 21:45:00,484.0,483.92,484.1,483.88,AU9999.XSGE,484.015
2024-01-02 21:50:00,483.94,483.64,483.96,483.44,AU9999.XSGE,483.67846
2024-01-02 21:55:00,483.64,483.68,483.74,483.62,AU9999.XSGE,483.68972
2024-01-02 22:00:00,483.68,483.5,483.74,483.48,AU9999.XSGE,483.63224
2024-01-02 22:05:00,483.5,483.62,483.7,483.48,AU9999.XSGE,483.57154
2024-01-02 22:10:00,483.62,483.48,483.66,483.44,AU9999.XSGE,483.57595999999995
2024-01-02 22:15:00,483.46,483.5,483.58,483.4,AU9999.XSGE,483.50318
2024-01-02 22:20:00,483.5,483.5,483.58,483.28,AU9999.XSGE,483.42712
2024-01-02 22:25:00,483.5,483.56,483.68,483.48,AU9999.XSGE,483.58686
2024-01-02 22:30:00,483.54,483.5,483.56,483.2,AU9999.XSGE,483.42208
2024-01-02 22:35:00,483.48,483.78,483.96,483.48,AU9999.XSGE,483.81553999999994
2024-01-02 22:40:00,483.78,483.2,483.78,482.86,AU9999.XSGE,483.33869999999996
2024-01-02 22:45:00,483.2,483.6,483.96,483.16,AU9999.XSGE,483.63666
2024-01-02 22:50:00,483.58,483.8,483.96,483.52,AU9999.XSGE,483.77698
2024-01-02 22:55:00,483.82,483.9,484.04,483.76,AU9999.XSGE,483.85689999999994
2024-01-02 23:00:00,483.9,483.84,484.06,483.84,AU9999.XSGE,483.93932000000007
2024-01-02 23:05:00,483.82,483.86,483.94,483.76,AU9999.XSGE,483.83693999999997
2024-01-02 23:10:00,483.84,483.64,483.84,483.6,AU9999.XSGE,483.72101999999995
2024-01-02 23:15:00,483.66,483.5,483.8,483.3,AU9999.XSGE,483.55465999999996
2024-01-02 23:20:00,483.5,483.48,483.62,483.38,AU9999.XSGE,483.50764
2024-01-02 23:25:00,483.48,483.4,483.52,483.36,AU9999.XSGE,483.45978
2024-01-02 23:30:00,483.4,483.38,483.48,483.34,AU9999.XSGE,483.40912
2024-01-02 23:35:00,483.36,482.18,483.38,482.0,AU9999.XSGE,482.91692
2024-01-02 23:40:00,482.18,482.8,482.82,482.14,AU9999.XSGE,482.49086
2024-01-02 23:45:00,482.78,482.56,482.82,482.5,AU9999.XSGE,482.63626000000005
2024-01-02 23:50:00,482.56,482.5,482.64,482.42,AU9999.XSGE,482.5291
2024-01-02 23:55:00,482.48,482.62,482.72,482.46,AU9999.XSGE,482.56041999999997
2024-01-03 00:00:00,482.64,482.74,482.82,482.6,AU9999.XSGE,482.70472
2024-01-03 00:05:00,482.72,483.28,483.3,482.64,AU9999.XSGE,482.96094000000005
2024-01-03 00:10:00,483.3,483.4,483.6,483.28,AU9999.XSGE,483.42107999999996
2024-01-03 00:15:00,483.44,483.28,483.5,483.22,AU9999.XSGE,483.36188000000004
2024-01-03 00:20:00,483.3,483.44,483.5,483.28,AU9999.XSGE,483.3782
2024-01-03 00:25:00,483.46,483.4,483.54,483.3,AU9999.XSGE,483.42394
2024-01-03 00:30:00,483.38,483.34,483.4,483.26,AU9999.XSGE,483.33114000000006
2024-01-03 00:35:00,483.34,483.4,483.5,483.32,AU9999.XSGE,483.3728
2024-01-03 00:40:00,483.4,483.44,483.5,483.36,AU9999.XSGE,483.44164
2024-01-03 00:45:00,483.42,483.58,483.66,483.4,AU9999.XSGE,483.55969999999996
2024-01-03 00:50:00,483.54,483.52,483.64,483.52,AU9999.XSGE,483.57394000000005
2024-01-03 00:55:00,483.52,483.46,483.54,483.4,AU9999.XSGE,483.50072
2024-01-03 01:00:00,483.46,483.46,483.54,483.38,AU9999.XSGE,483.47762
2024-01-03 01:05:00,483.46,483.52,483.56,483.44,AU9999.XSGE,483.49556
2024-01-03 01:10:00,483.5,483.48,483.52,483.4,AU9999.XSGE,483.46732000000003
2024-01-03 01:15:00,483.46,483.2,483.46,483.14,AU9999.XSGE,483.29385999999994
2024-01-03 01:20:00,483.24,483.28,483.34,483.2,AU9999.XSGE,483.26274
2024-01-03 01:25:00,483.26,483.34,483.36,483.24,AU9999.XSGE,483.29696
