代码,名称,合约乘数,最低交易保证金率,最小变动价位
nr,20号胶2506,10,0.17,5.0
TA,PTA509,5,0.15,2.0
v2,PVC2509,5,0.14,1.0
br,丁二烯胶2506,5,0.18,5.0
ss,不锈钢2506,5,0.14,5.0
eg,乙二醇2509,10,0.14,1.0
lu,低硫燃油2506,10,0.18,1.0
lg,原木2507,90,0.15,0.5
bc,国际铜2506,5,0.16,10.0
l2,塑料2509,5,0.14,1.0
ps,多晶硅2506,3,0.16,5.0
PX,对二甲苯509,5,0.16,2.0
UR,尿素509,20,0.15,1.0
si,工业硅2506,5,0.15,5.0
CF,棉花509,5,0.14,5.0
ru,橡胶2509,10,0.17,5.0
ao,氧化铝2509,20,0.16,1.0
bu,沥青2506,10,0.18,1.0
au,沪金2506,1000,0.2,0.02
pb,沪铅2506,5,0.16,5.0
cu,沪铜2506,5,0.16,10.0
al,沪铝2506,5,0.16,5.0
ag,沪银2506,15,0.2,1.0
zn,沪锌2506,5,0.16,5.0
sn,沪锡2506,1,0.19,10.0
ni,沪镍2506,1,0.19,10.0
cs,淀粉2507,10,0.13,1.0
SH,烧碱509,30,0.15,1.0
hc,热卷2510,10,0.14,1.0
j2,焦炭2509,100,0.27,0.5
jm,焦煤2509,60,0.19,0.5
fu,燃油2507,10,0.18,1.0
c2,玉米2507,10,0.14,1.0
FG,玻璃509,20,0.17,1.0
PR,瓶片506,15,0.14,2.0
lh,生猪2509,16,0.15,5.0
MA,甲醇509,10,0.15,1.0
SR,白糖509,10,0.14,1.0
PF,短纤506,5,0.14,2.0
SF,硅铁506,5,0.16,2.0
lc,碳酸锂2507,1,0.17,20.0
rr,粳米2506,10,0.13,1.0
CJ,红枣509,5,0.17,5.0
SA,纯碱509,20,0.17,1.0
sp,纸浆2507,10,0.15,2.0
pp,聚丙烯2509,5,0.14,1.0
bb,胶合板2511,500,0.52,0.05
PK,花生510,5,0.15,2.0
eb,苯乙烯2506,5,0.14,1.0
AP,苹果510,10,0.17,1.0
OI,菜油509,10,0.16,1.0
RM,菜粕509,10,0.17,1.0
rb,螺纹钢2510,10,0.14,1.0
a2,豆一2507,10,0.14,1.0
b2,豆二2509,10,0.14,1.0
y2,豆油2509,10,0.14,2.0
m2,豆粕2509,10,0.14,1.0
i2,铁矿石2509,100,0.18,0.5
SM,锰硅509,5,0.16,2.0
jd,鸡蛋2506,10,0.14,1.0
