合约,时间,手数,开仓价格,止损价格,止盈价格,盈利
FG9999.XZCE,202401192145,25000.0,1841.0,1804.18,1933.05,
FG9999.XZCE,202401192245,25000.0,1832.0,1795.36,1923.6,
FG9999.XZCE,202401192250,25000.0,1835.0,1798.3,1926.75,
FG9999.XZCE,202401220910,25000.0,1841.0,1804.18,1933.05,
FG9999.XZCE,202401220920,25000.0,1838.0,1801.24,1929.9,
FG9999.XZCE,202401220930,25000.0,1839.0,1802.22,1930.95,
FG9999.XZCE,202401230920,25000.0,1795.0,1759.1,1884.75,
FG9999.XZCE,202401230950,25000.0,1793.0,1757.14,1882.65,
FG9999.XZCE,202401230955,25000.0,1794.0,1758.12,1883.7,
FG9999.XZCE,202401231005,25000.0,1789.0,1753.22,1878.45,
FG9999.XZCE,202401231120,25000.0,1781.0,1745.38,1870.05,
FG9999.XZCE,202401231125,25000.0,1783.0,1747.34,1872.15,
FG9999.XZCE,202401231330,25000.0,1782.0,1746.36,1871.1,
FG9999.XZCE,202401231335,25000.0,1786.0,1750.28,1875.3,
FG9999.XZCE,202401252240,25000.0,1764.0,1728.72,1852.2,
FG9999.XZCE,202401252250,25000.0,1764.0,1728.72,1852.2,
FG9999.XZCE,202401260910,25000.0,1765.0,1729.7,1853.25,
FG9999.XZCE,202401260935,25000.0,1766.0,1730.68,1854.3,
FG9999.XZCE,202401302245,25000.0,1763.0,1727.74,1851.15,
FG9999.XZCE,202401310915,25000.0,1743.0,1708.14,1830.15,
FG9999.XZCE,202401310935,25000.0,1738.0,1703.24,1824.9,
FG9999.XZCE,202401310940,25000.0,1739.0,1704.22,1825.95,
FG9999.XZCE,202401310945,25000.0,1744.0,1709.12,1831.2,
FG9999.XZCE,202401311005,25000.0,1744.0,1709.12,1831.2,
FG9999.XZCE,202401311010,25000.0,1747.0,1712.06,1834.35,
FG9999.XZCE,202401311015,25000.0,1749.0,1714.02,1836.45,
FG9999.XZCE,202401311035,25000.0,1746.0,1711.08,1833.3,
FG9999.XZCE,202401311105,25000.0,1743.0,1708.14,1830.15,
FG9999.XZCE,202401311110,25000.0,1745.0,1710.1,1832.25,
