合约,时间,手数,开仓价格,止损价格,止盈价格,盈利
FG9999.XZCE,202401151115,25000.0,1813.0,1776.74,1903.65,
FG9999.XZCE,202401151405,25000.0,1820.0,1783.6,1911.0,
FG9999.XZCE,202401161400,25000.0,1852.0,1814.96,1944.6000000000001,
FG9999.XZCE,202401161410,25000.0,1856.0,1818.8799999999999,1948.8000000000002,
FG9999.XZCE,202401161420,25000.0,1860.0,1822.8,1953.0,
FG9999.XZCE,202401250925,25000.0,1779.0,1743.42,1867.95,
FG9999.XZCE,202401261000,25000.0,1775.0,1739.5,1863.75,
FG9999.XZCE,202402051000,25000.0,1685.0,1651.3,1769.25,
FG9999.XZCE,202402052130,25000.0,1695.0,1661.1,1779.75,
FG9999.XZCE,202402072130,25000.0,1694.0,1660.12,1778.7,
FG9999.XZCE,202402072135,25000.0,1691.0,1657.18,1775.5500000000002,
FG9999.XZCE,202402072150,25000.0,1699.0,1665.02,1783.95,
FG9999.XZCE,202402072155,25000.0,1698.0,1664.04,1782.9,
FG9999.XZCE,202403010915,25000.0,1585.0,1553.3,1664.25,
FG9999.XZCE,202403080925,25000.0,1542.0,1511.16,1619.1000000000001,
FG9999.XZCE,202403121000,25000.0,1546.0,1515.08,1623.3000000000002,
FG9999.XZCE,202403121420,25000.0,1549.0,1518.02,1626.45,
FG9999.XZCE,202403130930,25000.0,1563.0,1531.74,1641.15,
FG9999.XZCE,202403130935,25000.0,1568.0,1536.6399999999999,1646.4,
FG9999.XZCE,202403251430,25000.0,1440.0,1411.2,1512.0,
FG9999.XZCE,202404022220,25000.0,1468.0,1438.6399999999999,1541.4,
FG9999.XZCE,202404081330,25000.0,1463.0,1433.74,1536.15,
FG9999.XZCE,202404221005,25000.0,1573.0,1541.54,1651.65,
FG9999.XZCE,202405302200,25000.0,1672.0,1638.56,1755.6000000000001,
FG9999.XZCE,202405302230,25000.0,1679.0,1645.42,1762.95,
FG9999.XZCE,202406032150,25000.0,1654.0,1620.92,1736.7,
FG9999.XZCE,202406052120,25000.0,1601.0,1568.98,1681.0500000000002,
FG9999.XZCE,202406052200,25000.0,1595.0,1563.1,1674.75,
FG9999.XZCE,202406171420,25000.0,1547.0,1516.06,1624.3500000000001,
FG9999.XZCE,202406202100,25000.0,1549.0,1518.02,1626.45,
FG9999.XZCE,202406211000,25000.0,1557.0,1525.86,1634.8500000000001,
FG9999.XZCE,202406211120,25000.0,1558.0,1526.84,1635.9,
FG9999.XZCE,202407080935,25000.0,1456.0,1426.8799999999999,1528.8,
FG9999.XZCE,202407150925,25000.0,1425.0,1396.5,1496.25,
FG9999.XZCE,202407311005,25000.0,1326.0,1299.48,1392.3,
FG9999.XZCE,202408060950,25000.0,1247.0,1222.06,1309.3500000000001,
FG9999.XZCE,202408201000,25000.0,1256.0,1230.8799999999999,1318.8,
FG9999.XZCE,202408211410,25000.0,1266.0,1240.68,1329.3,
FG9999.XZCE,202409232150,25000.0,1166.0,1142.68,1224.3,
FG9999.XZCE,202409232155,25000.0,1181.0,1157.3799999999999,1240.05,
FG9999.XZCE,202410091000,25000.0,1207.0,1182.86,1267.3500000000001,
FG9999.XZCE,202410101400,25000.0,1230.0,1205.4,1291.5,
FG9999.XZCE,202410102140,25000.0,1243.0,1218.1399999999999,1305.15,
FG9999.XZCE,202410111100,25000.0,1264.0,1238.72,1327.2,
FG9999.XZCE,202410111110,25000.0,1266.0,1240.68,1329.3,
FG9999.XZCE,202410111400,25000.0,1264.0,1238.72,1327.2,
FG9999.XZCE,202410111425,25000.0,1265.0,1239.7,1328.25,
FG9999.XZCE,202410111500,25000.0,1269.0,1243.62,1332.45,
FG9999.XZCE,202410151415,25000.0,1293.0,1267.1399999999999,1357.65,
FG9999.XZCE,202410151450,25000.0,1294.0,1268.12,1358.7,
FG9999.XZCE,202410242145,25000.0,1339.0,1312.22,1405.95,
FG9999.XZCE,202410242150,25000.0,1337.0,1310.26,1403.8500000000001,
FG9999.XZCE,202410250940,25000.0,1339.0,1312.22,1405.95,
FG9999.XZCE,202410251010,25000.0,1338.0,1311.24,1404.9,
FG9999.XZCE,202410251105,25000.0,1351.0,1323.98,1418.55,
FG9999.XZCE,202410251110,25000.0,1355.0,1327.8999999999999,1422.75,
FG9999.XZCE,202410280950,25000.0,1389.0,1361.22,1458.45,
FG9999.XZCE,202411041405,25000.0,1331.0,1304.3799999999999,1397.55,
FG9999.XZCE,202411070905,25000.0,1264.0,1238.72,1327.2,
FG9999.XZCE,202411070910,25000.0,1263.0,1237.74,1326.15,
FG9999.XZCE,202411080930,25000.0,1243.0,1218.1399999999999,1305.15,
FG9999.XZCE,202411081345,25000.0,1249.0,1224.02,1311.45,
FG9999.XZCE,202411111040,25000.0,1258.0,1232.84,1320.9,
FG9999.XZCE,202411141410,25000.0,1251.0,1225.98,1313.55,
FG9999.XZCE,202411180940,25000.0,1239.0,1214.22,1300.95,
FG9999.XZCE,202411181010,25000.0,1243.0,1218.1399999999999,1305.15,
FG9999.XZCE,202411191410,25000.0,1243.0,1218.1399999999999,1305.15,
FG9999.XZCE,202411221000,25000.0,1286.0,1260.28,1350.3,
FG9999.XZCE,202411282110,25000.0,1194.0,1170.12,1253.7,
FG9999.XZCE,202412031005,25000.0,1234.0,1209.32,1295.7,
FG9999.XZCE,202412031100,25000.0,1245.0,1220.1,1307.25,
FG9999.XZCE,202412131000,25000.0,1376.0,1348.48,1444.8,
FG9999.XZCE,202412181400,25000.0,1346.0,1319.08,1413.3,
FG9999.XZCE,202412181405,25000.0,1345.0,1318.1,1412.25,
